Discriminación étnica y racial;;;Discriminación contra personas extranjeras o xenofobia;;;Discriminación contra las personas lesbianas, gays, bisexuales, transgénero e intersexuales (LGBTI);;;Discriminación de género
Merienda de negros;;;Gringo;;;Homosexual;;;Patriarcado
Mano negra;;;Ilegal;;;Homofobia;;;Parece nena
Cholo;;;Esclavo;;;Gay;;;Zorra
Indio;;;Servidumbre;;;Mujer lesbiana;;;Fácil
Suerte negra;;;Veneco;;;Bisexual;;;Esto es para hombres
Día negro;;;Nigga;;;Transgénero;;;Dedicate a la cocina
Mercado negro;;;Inmigrante;;;Intersexual;;;Callada se ve más bonita
Tener la negra;;;Delincuente;;;Travesti;;;Baboso
Negras intenciones;;;Extranjero;;;Delicada;;;Nenita
Dinero negro;;;Chino amarillo;;;Marica;;;Estas loca
Garbanzo negro;;;Judio;;;Salir del armario;;;No vales nada
Oveja negra;;;Refugiado;;;Afeminado;;;Perra
Pozo negro;;;Malditos inmigrantes;;;Androginia;;;Vistes como una zorra
Magia negra;;;Asiático;;;Arcoíris;;;Eres una vieja
Charolitos;;;Musulmanes;;;Armario;;;Mala madre, te voy a quitar a tus hijos
Morenos;;;Africanos;;;Bandera del Orgullo;;;Prostituta
Pardos;;;Oye chino;;;Bollera;;;No seas nena
Tizones;;;Gente de color;;;Sal del Closet;;;Cretino
Chocolates;;;Persona de Color;;;Diferencia de género;;;Descerebrado
Caimitos;;;Estás infectado chino;;;Disforia de género;;;Fariseo
Monos;;;Asilo;;;Diversidad de género;;;Huevón
Leyenda negra;;;Adoptar personas;;;Estereotipos de género;;;Lameplatos
Mulato;;;Supremasistas blancos;;;Heterosexual;;;Lerdo
Runa;;;Las vidas blancas importan;;;Maricón;;;Machista
Mama negra;;;Delincuencia organizada;;;Marimacho;;;Mujerzuela
Carita sucia;;;Deportado;;;Orgullo gay;;;Opresor
Indio del páramo;;;Narcotraficante;;;Orientación sexual;;;Mujer ama de casa
Indigena de los Andes;;;Discriminado racial;;;Meco;;;Meon
Indio de poncho;;;Esclavo por falta de empleo;;;Mariposa;;;Patán
La jerga;;;Campesino;;;Patea con la izquierda;;;Pelele
Gran caballo;;;Montubio;;;Virado;;;Pelagato
Borrego;;;Foráneo;;;Desvirgado;;;Esta en celo
Pastuso;;;Raices negras;;;Afeminado;;;La burra esta loca
Ala Caballo;;;Chino es copia;;;Defectuoso;;;Sabandija
Fuerte chirincho;;;Perro sucio;;;Fenómeno;;;Zoquete
El guagua;;;Cholo;;;Homofóbica;;;Demente
La cosa está negra;;;Extranjero ilegal;;;Identidad de género;;;Amanerado
Criollo;;;El chico;;;Eso es tan gay;;;Carishina
Color piel;;;Indocumentado;;;Bifóbica;;;Shunsho
Comunidad indigena;;;Fuga de cerebros;;;Delicada;;;Celosa
Pelucon;;;Ingreso ilegal;;;Rosas;;;Mija o mijo
Colorado;;;Villero;;;Comebolsas;;;Gallina
Patucho;;;Colado;;;Bellota;;;Taita
Verdulera;;;Coyotero;;;Mujeruelo;;;Fulana
Longo o longa;;;Sin pasaporte;;;Parejas del mismo sexo;;;Bruja
Suco;;;Extraditado;;;Machona;;;Lorenzo
Aristócrata;;;Decomisado;;;Mano quebrada;;;Asistenta
Bajadito del cerro;;;Regionales;;;Hombre raro;;;Loba
Gato;;;Secuestrado;;;Golosa;;;Muñeca
